Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
PHF2	580	527	491	358	439	444	524	505	217	626	668	549
PHF20	794	744	850	723	486	724	687	627	393	726	968	880
PHF20L1	645	372	664	658	235	477	489	564	124	542	658	1090
PHF21A	460	608	485	359	323	330	355	390	300	644	725	572
PHF23	59	0	54	32	102	77	58	92	22	58	63	45
PHF2P2	0	0	0	0	0	0	0	22	0	0	17	13
PHF3	1902	940	1826	2262	324	1391	1504	1742	567	1348	2163	2709
PHF5A	56	0	75	68	4	59	63	60	9	81	126	115
PHF6	146	0	122	153	13	120	115	123	48	111	195	249
PHF7	57	85	70	61	14	55	56	52	9	64	77	64
PHF8	837	563	448	663	558	605	671	683	268	631	721	611
PHGDH	53	163	73	8	26	114	15	7	0	62	7	36
PHIP	1106	134	979	1054	263	793	968	1120	227	858	1359	1563
PHKA1	4	76	5	7	3	3	6	6	3	6	7	3
PHKA1P1	11	42	18	13	5	14	19	0	0	15	14	18
PHKA2	447	164	391	351	337	480	395	414	161	502	498	532
PHKB	391	215	283	292	87	243	226	301	35	234	369	400
PHKG1	46	71	51	18	35	42	24	21	33	49	60	34
PHKG2	179	136	141	63	82	111	115	124	68	148	148	121
PHLDA1	1298	87	13	1101	114	4	594	781	66	85	320	27
PHLDA2	6	0	0	3	0	1	16	7	0	0	5	0
PHLDA3	7	0	3	0	0	0	1	17	0	0	13	0
PHLDB1	46	56	17	43	17	36	35	55	29	23	14	17
PHLDB2	177	0	36	190	119	14	203	170	46	81	176	18
PHLDB3	76	53	94	49	120	138	75	48	67	228	121	159
PHLPP1	176	297	99	132	164	144	152	120	51	124	156	109
PHLPP2	183	91	140	170	158	133	203	209	108	134	284	223
PHOSPHO1	0	0	0	1	0	0	0	1	0	0	0	0
PHOSPHO2	22	0	17	34	15	19	19	15	0	11	13	15
PHPT1	34	33	55	51	116	34	64	51	60	70	77	38
PHRF1	1157	918	566	720	1041	823	1047	838	294	840	608	606
PHTF1	243	0	23	104	64	26	134	128	21	38	47	23
PHTF2	440	0	104	413	36	166	362	793	30	94	468	310
PHYH	118	34	97	53	39	54	47	38	17	46	60	69
PHYHD1	6	0	20	6	15	9	5	8	0	8	5	9
PHYHIP	0	0	0	0	0	0	3	0	0	0	0	0
PI15	4	0	0	1	0	0	4	9	0	0	0	0
PI16	16	0	21	1	46	28	4	66	0	17	252	31
PI3	0	0	0	0	0	0	0	7	0	0	0	0
PI4K2A	106	0	75	53	140	74	76	67	6	181	190	125
PI4K2B	136	102	154	207	90	136	179	183	62	124	204	193
PI4KA	1391	602	1515	953	794	1477	1190	1237	317	1664	1754	1866
PI4KAP1	145	0	116	77	108	133	61	73	0	82	56	70
PI4KAP2	139	94	135	141	106	194	81	91	14	144	89	140
PI4KB	701	177	531	369	297	447	403	553	230	589	776	540
PIAS1	487	134	453	377	75	268	366	427	223	342	530	575
PIAS2	152	0	161	91	28	166	108	83	49	143	146	221
PIAS3	185	45	108	137	55	98	169	180	14	83	124	107
PIAS4	140	133	89	86	193	135	135	117	30	90	158	118
PIBF1	241	186	279	296	57	246	220	234	24	94	281	368
PICALM	1312	723	485	1165	261	364	1133	1178	172	501	720	661
PICK1	115	157	55	57	100	111	161	155	80	122	84	122
PID1	0	40	2	1	0	0	0	0	0	0	5	1
PIF1	8	0	2	1	20	0	2	0	7	18	1	0
PIGA	110	102	193	191	29	139	86	82	70	204	384	280
PIGB	92	0	40	66	10	43	114	117	6	35	98	65
PIGC	111	205	100	103	3	59	95	98	52	93	149	178
PIGCP1	0	0	0	0	0	0	4	0	0	0	0	0
PIGF	123	0	72	87	11	43	58	83	48	66	50	72
PIGG	610	532	482	465	332	524	551	641	189	424	464	533
PIGH	94	0	65	97	11	51	75	66	36	81	66	68
PIGK	87	76	202	93	18	112	116	132	41	94	265	297
PIGL	133	0	100	96	17	134	133	116	52	83	77	134
PIGM	113	0	44	63	11	54	117	100	28	58	74	72
PIGN	184	0	123	117	17	105	125	135	0	90	131	185
PIGO	300	294	203	256	145	241	293	279	34	246	191	289
PIGP	34	0	37	22	8	27	35	11	0	38	45	46
PIGQ	227	61	214	133	279	263	208	202	56	202	164	158
PIGR	23	0	0	28	0	0	8	126	0	4	0	0
PIGS	215	193	199	160	185	232	221	249	126	240	229	303
PIGT	278	249	212	193	163	164	202	206	94	358	336	211
PIGU	81	0	32	51	7	74	73	71	4	40	59	64
PIGV	161	132	85	123	119	59	111	93	13	78	69	57
PIGW	19	97	48	11	24	11	27	34	0	12	25	24
PIGX	46	64	48	41	14	30	42	39	25	70	85	89
PIGY	95	66	174	93	52	74	122	100	82	130	196	161
PIGZ	0	54	3	4	10	0	0	15	0	3	3	2
PIH1D1	169	163	158	103	197	147	118	102	50	181	180	166
PIH1D2	0	0	0	0	0	0	0	0	14	3	0	0
PIK3AP1	423	421	71	94	260	36	288	24	96	281	24	26
PIK3C2A	517	257	330	576	77	324	487	508	148	279	367	547
PIK3C2B	319	365	287	158	338	292	182	298	89	319	569	360
PIK3C2G	2	0	0	0	0	0	0	1	0	0	0	0
PIK3C3	379	236	446	329	56	351	375	407	87	387	492	713
PIK3CA	257	381	371	323	88	260	237	352	47	313	650	818
PIK3CB	255	249	217	326	44	194	236	341	34	200	327	430
PIK3CD	2301	1687	3021	1411	2289	3796	1594	1237	501	3515	2785	3612
PIK3CG	677	271	364	445	229	283	652	503	107	343	413	354
PIK3IP1	3904	3318	6722	3621	1970	4785	5105	6383	1525	6739	6500	8047
PIK3R1	2771	3257	1992	3750	1486	1226	2824	3223	1749	3373	6851	3315
PIK3R2	79	182	179	33	165	125	64	99	71	167	188	165
PIK3R3	61	84	9	9	18	4	23	48	51	21	17	8
PIK3R4	315	155	215	271	94	187	251	307	25	200	206	271
PIK3R5	834	1144	1085	502	1853	1250	782	1072	694	1485	1326	984
PIK3R6	57	0	4	48	6	3	63	25	0	10	7	10
PIKFYVE	643	608	754	665	393	727	570	690	408	712	1038	1107
PILRA	23	11	24	42	21	47	9	32	0	20	18	37
PILRB	942	532	734	927	1389	1218	959	770	312	1066	700	790
PIM1	588	1052	1134	240	654	629	403	1215	653	1092	1992	1557
PIM2	1067	865	1095	930	326	499	891	1813	264	910	1290	1205
PIM3	305	248	154	270	748	152	299	294	270	779	1113	373
PIN1	265	123	231	123	338	183	240	224	84	290	270	197
